title,image,year,price,author,rating,publisher,length,ISBN,city/country
The Lyrics,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241519332.jpg,2021,133.82,Paul McCartney,,Penguin Books Ltd,912,9780241519332,"London, United Kingdom"
Animal Farm,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141036137.jpg,2008,14.25,George Orwell,3.97,Penguin Books Ltd,112,9780141036137,"London, United Kingdom"
"Toilet-bound Hanako-kun, Vol. 2",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975399573.jpg,2020,19.46,AidaIro,4.56,"Little, Brown & Company",192,9781975399573,"New York, United States"
Beano Annual 2022,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8453/9781845358648.jpg,2021,20.67,,,D.C.Thomson & Co Ltd,112,9781845358648,United Kingdom
Eating Plant-Based,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7816/9781781611944.jpg,2022,35.87,Shireen Kassam,,Hammersmith Health Books,240,9781781611944,"London, United Kingdom"
The Fine Print Special Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7375/9781737507710.jpg,2021,24.94,Lauren Asher,4.11,Lauren Asher,448,9781737507710,
Operation Joktan,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7369/9780736985208.jpg,2021,18.05,Amir Tsarfati,5,"Harvest House Publishers,U.S.",368,9780736985208,"Eugene, OR, United States"
Hamnet,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4722/9781472223821.jpg,2021,16.18,Maggie O'Farrell,4.28,Headline Publishing Group,384,9781472223821,"London, United Kingdom"
"Harry Potter and the Chamber of Secrets (Minalima Edition) (Illustrated Edition), 2",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3387/9781338716535.jpg,2021,54.77,J K Rowling,4.43,SCHOLASTIC INC.,400,9781338716535,
The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638582533.jpg,2022,23.99,Mo Xiang Tong Xiu,4.14,Seven Seas,400,9781638582533,United States
Conversations with Friends,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571333134.jpg,2018,16.29,Sally Rooney,3.83,Faber & Faber,336,9780571333134,"London, United Kingdom"
Roald Dahl's Marvellous Joke Book,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340555.jpg,2012,22.57,Roald Dahl,3.94,Penguin Random House Children's UK,128,9780141340555,"London, United Kingdom"
The Tiger Who Came to Tea,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0072/9780007215997.jpg,2006,13.21,Judith Kerr,4.25,HarperCollins Publishers,32,9780007215997,"London, United Kingdom"
The Snail and the Whale,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1424/9780142405802.jpg,2006,14.95,Julia Donaldson,4.38,Penguin Putnam Inc,32,9780142405802,"New York, NY, United States"
Where's Spot?,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7232/9780723263661.jpg,2011,13.93,Eric Hill,4.11,Penguin Random House Children's UK,22,9780723263661,"London, United Kingdom"
The Roommate,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349427522.jpg,2020,11.58,Rosie Danan,3.72,"Little, Brown Book Group",336,9780349427522,"London, United Kingdom"
"Beautiful World, Where Are You",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571365425.jpg,2021,27.94,Sally Rooney,3.86,FABER & FABER,352,9780571365425,"London, United Kingdom"
The Invisible String,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3164/9780316486231.jpg,2018,15.73,Patrice Karst,4.47,Hachette Book Group,40,9780316486231,"London, United States"
Your One Wild and Precious Life,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241437728.jpg,2021,26.8,Maureen Gaffney,3.67,Penguin Books Ltd,416,9780241437728,"London, United Kingdom"
The Four Agreements,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8784/9781878424310.jpg,1997,20.53,Don Miguel Ruiz,4.16,"Amber-Allen Publishing,U.S.",160,9781878424310,"San Rafael, CA, United States"
Unguarded,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9821/9781982165192.jpg,2021,36.36,Scottie Pippen,4.33,Atria Books,320,9781982165192,
Moonology (TM) Manifestation Oracle,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788176521.jpg,2021,31.88,Yasmin Boland,5,Hay House UK Ltd,144,9781788176521,"London, United Kingdom"
Look Inside Things That Go,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409550259.jpg,2013,21.68,Rob Lloyd Jones,4.46,Usborne Publishing Ltd,14,9781409550259,"London, United Kingdom"
Heretics Of Dune,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233799.jpg,2021,17.21,Frank Herbert,3.88,Orion Publishing Co,512,9781473233799,"London, United Kingdom"
Small Things Like These,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571368686.jpg,2021,18.21,Claire Keegan,4.29,Faber & Faber,128,9780571368686,"London, United Kingdom"
The Concise 48 Laws Of Power,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8619/9781861974044.jpg,2002,13.81,Robert Greene,4.23,Profile Books Ltd,208,9781861974044,"London, United Kingdom"
A Guide to Japanese Role-Playing Games,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8380/9781838019143.jpg,2021,68.76,Bitmap Books,5,Bitmap Books,652,9781838019143,United Kingdom
The Flatshare,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7874/9781787474413.jpg,2020,14.67,Beth O'Leary,4.08,Quercus Publishing,432,9781787474413,"London, United Kingdom"
The Cat Who Saved Books,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529081473.jpg,2021,16.04,Sosuke Natsukawa,3.61,Pan Macmillan,224,9781529081473,"London, United Kingdom"
Harry Potter and the Philosopher's Stone: MinaLima Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526626585.jpg,2021,48.39,J.K. Rowling,4.47,Bloomsbury Publishing PLC,368,9781526626585,"London, United Kingdom"
Start With Why,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241958223.jpg,2011,16.85,Simon Sinek,4.08,Penguin Books Ltd,256,9780241958223,"London, United Kingdom"
The Alchemist,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0623/9780062355300.jpg,2020,12.55,Paulo Coelho,3.89,Harper,182,9780062355300,United States
"Solo Leveling, Vol. 2",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975319458.jpg,2021,28.81,Chugong,4.59,Yen Press,192,9781975319458,"New York, United States"
This Is Vegan Propaganda,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785043765.jpg,2022,25.78,Ed Winters,5,Ebury Publishing,320,9781785043765,"London, United Kingdom"
Entangled Life,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784708276.jpg,2021,19.99,Merlin Sheldrake,4.39,Vintage Publishing,368,9781784708276,"London, United Kingdom"
Windswept & Interesting,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529318265.jpg,2022,35.12,Billy Connolly,4.59,Hodder & Stoughton,400,9781529318265,"London, United Kingdom"
The Seven Husbands of Evelyn Hugo,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501161933.jpg,2018,21.59,Taylor Jenkins Reid,4.45,SIMON & SCHUSTER,400,9781501161933,"New York, United States"
The Koala Who Could,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408331644.jpg,2017,13.55,Rachel Bright,4.27,Hachette Children's Group,32,9781408331644,"London, United Kingdom"
